,image_name,image_width,image_height,center_x,center_y,bnd_width,bnd_height,label
0,air-hole12(hollow-bead)-142.jpg,1178,817,0.9567062818336163,0.9541003671970624,0.01697792869269949,0.0208078335373317,0
1,air-hole12(hollow-bead)-142.jpg,1178,817,0.44821731748726656,0.25642594859241125,0.04923599320882852,0.05263157894736842,4
2,air-hole7-028.jpg,1182,816,0.4276649746192893,0.38909313725490197,0.010998307952622674,0.01838235294117647,0
3,air-hole7-028.jpg,1182,816,0.30752961082910324,0.23161764705882354,0.012690355329949238,0.01715686274509804,0
4,air-hole7-028.jpg,1182,816,0.1814720812182741,0.06556372549019608,0.012690355329949238,0.01838235294117647,0
5,broken-arc2-064.jpg,958,653,0.5568893528183716,0.6049004594180705,0.5793319415448852,0.781010719754977,2
6,broken-arc2-156.jpg,958,653,0.04279749478079332,0.11791730474732007,0.08350730688935282,0.12557427258805512,2
7,air-hole4(hollow-bead)-105.jpg,1182,820,0.5097292724196277,0.9347560975609757,0.017766497461928935,0.018292682926829267,0
8,air-hole4(hollow-bead)-105.jpg,1182,820,0.47292724196277497,0.876219512195122,0.050761421319796954,0.0524390243902439,4
9,air-hole4(hollow-bead)-105.jpg,1182,820,0.282994923857868,0.6225609756097561,0.012690355329949238,0.015853658536585366,0
10,air-hole4(hollow-bead)-105.jpg,1182,820,0.22715736040609136,0.5457317073170732,0.012690355329949238,0.018292682926829267,0
11,air-hole4(hollow-bead)-105.jpg,1182,820,0.21108291032148901,0.5237804878048781,0.012690355329949238,0.018292682926829267,0
12,air-hole4(hollow-bead)-105.jpg,1182,820,0.14509306260575297,0.4371951219512195,0.009306260575296108,0.015853658536585366,0
13,air-hole4(hollow-bead)-105.jpg,1182,820,0.09602368866328258,0.3719512195121951,0.012690355329949238,0.01707317073170732,0
14,broken-arc3(air-hole)-282.jpg,1181,815,0.2019475021168501,0.022699386503067485,0.029635901778154106,0.04294478527607362,2
15,crack043.jpg,958,653,0.46555323590814196,0.37136294027565087,0.09812108559498957,0.1546707503828484,3
16,air-hole10-026.jpg,1182,817,0.3866328257191201,0.7509179926560587,0.018612521150592216,0.025703794369645042,0
17,unfused5-27.jpg,1181,816,0.5076206604572396,0.7359068627450981,0.25994919559695173,0.2806372549019608,7
18,broken-arc3(air-hole)-203.jpg,1181,815,0.22734970364098223,0.041104294478527606,0.012701100762066046,0.018404907975460124,0
19,broken-arc3(air-hole)-203.jpg,1181,815,0.5774767146486028,0.5533742331288344,0.6587637595258256,0.8736196319018404,2
